                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9444,                 3.3356,                  1.404,                0.91814,                0.47846,                0.55617,                0.30139,                 1.5061,                0.76183,                 1.1226,               1.19e-06,               1.19e-06,               1.19e-06
                      2,                 1.9428,                 2.9539,                 1.3619,                0.91813,                0.47841,                0.55633,                0.30055,                 1.5074,                0.75608,                 1.1202,             3.5347e-06,             3.5347e-06,             3.5347e-06
                      3,                 1.9342,                 3.0168,                 1.4032,                 0.9151,                0.47953,                0.53937,                0.30566,                 1.5058,                0.75284,                 1.1178,             5.8322e-06,             5.8322e-06,             5.8322e-06
                      4,                 1.8186,                 2.7332,                 1.3302,                0.91113,                0.48029,                0.53165,                0.30292,                 1.5024,                0.75128,                 1.1142,             8.0826e-06,             8.0826e-06,             8.0826e-06
                      5,                 1.8556,                 2.7398,                  1.356,                0.93356,                0.49757,                0.54082,                0.30995,                 1.4957,                0.75014,                   1.11,             1.0286e-05,             1.0286e-05,             1.0286e-05
                      6,                 1.8437,                 2.3611,                 1.3034,                0.93334,                0.49847,                0.54129,                0.31356,                 1.4877,                0.75174,                 1.1023,             1.2442e-05,             1.2442e-05,             1.2442e-05
                      7,                 1.8824,                 2.2724,                 1.3263,                 0.9323,                0.49967,                0.55104,                0.31263,                 1.4795,                0.75635,                 1.0978,             1.4551e-05,             1.4551e-05,             1.4551e-05
                      8,                 1.9144,                 2.2894,                 1.3544,                0.95217,                0.48624,                0.55118,                0.32228,                 1.4633,                0.75599,                 1.0912,             1.6613e-05,             1.6613e-05,             1.6613e-05
                      9,                 1.6941,                 2.1412,                 1.3073,                0.94517,                0.51282,                 0.5556,                0.32219,                 1.4521,                0.75296,                 1.0865,             1.8628e-05,             1.8628e-05,             1.8628e-05
                     10,                 1.6998,                 1.9082,                 1.3036,                0.95011,                0.51205,                0.55506,                0.32398,                 1.4434,                0.74671,                 1.0834,             2.0595e-05,             2.0595e-05,             2.0595e-05
                     11,                 1.7325,                 1.8491,                 1.3382,                0.95213,                 0.5124,                0.55505,                 0.3233,                 1.4318,                0.74442,                 1.0793,             2.2516e-05,             2.2516e-05,             2.2516e-05
                     12,                 1.5874,                 1.8431,                 1.2624,                0.96541,                0.51073,                 0.5556,                0.32308,                 1.4219,                0.74588,                 1.0763,             2.4389e-05,             2.4389e-05,             2.4389e-05
                     13,                 1.7751,                 1.8556,                 1.2712,                0.96542,                0.51059,                0.55575,                0.32158,                 1.4145,                0.74968,                  1.073,             2.6216e-05,             2.6216e-05,             2.6216e-05
                     14,                 1.7252,                 1.7775,                 1.2684,                 0.9654,                0.50981,                0.55425,                0.32192,                 1.4064,                0.75221,                 1.0711,             2.7995e-05,             2.7995e-05,             2.7995e-05
                     15,                 1.5944,                 1.5987,                 1.2342,                 0.9596,                0.50269,                  0.554,                0.32755,                 1.3956,                0.75653,                 1.0683,             2.9727e-05,             2.9727e-05,             2.9727e-05
                     16,                 1.5505,                 1.5051,                  1.259,                0.96057,                0.50295,                 0.5516,                0.33021,                 1.3896,                0.76263,                 1.0654,             3.1412e-05,             3.1412e-05,             3.1412e-05
                     17,                 1.6047,                 1.3868,                  1.222,                0.96313,                0.50266,                0.55129,                0.32774,                 1.3846,                0.76859,                 1.0623,              3.305e-05,              3.305e-05,              3.305e-05
                     18,                 1.6643,                 1.5316,                 1.2306,                 0.9353,                0.50556,                0.55071,                0.32497,                 1.3799,                0.77977,                 1.0588,              3.464e-05,              3.464e-05,              3.464e-05
                     19,                 1.6357,                 1.4569,                 1.2246,                0.93404,                0.50556,                0.55182,                0.32693,                 1.3743,                0.79082,                 1.0577,             3.6184e-05,             3.6184e-05,             3.6184e-05
                     20,                 1.4525,                 1.2378,                 1.1607,                0.93743,                0.50556,                0.55143,                0.33275,                 1.3645,                0.79936,                 1.0535,              3.768e-05,              3.768e-05,              3.768e-05
